Name,Time,Date,Status

SWAYAM(ME),01:36:55,11/01/2025,Present
NARENDRA-MODI,01:37:22,11/01/2025,Present
RAHUL GANDHI,01:48:35,11/01/2025,Present
MUMMY,03:03:08,11/01/2025,Absent
SWAYAM(ME),19:23:28,24/01/2025,Absent
RAHUL GANDHI,19:23:47,24/01/2025,Absent
NARENDRA-MODI,19:24:08,24/01/2025,Absent
Asish Veshala,15:30:00,24/01/2025,Present
SWAYAM(ME),14:38:14,25/01/2025,Absent
NARENDRA-MODI,23:00:42,11/05/2025,Absent
SWAYAM(ME),23:01:26,11/05/2025,Absent
RAHUL GANDHI,23:02:15,11/05/2025,Absent
